scenario,base_case,volume_focused,emerging_threat_focused,stability_focused
base_case,1.0,0.9884004884004883,0.9029304029304028,0.9829059829059829
volume_focused,0.9884004884004883,1.0,0.9218559218559219,0.9529914529914528
emerging_threat_focused,0.9029304029304028,0.9218559218559219,1.0,0.8547008547008547
stability_focused,0.9829059829059829,0.9529914529914528,0.8547008547008547,1.0
